Ýlçe, Mahalle, Net Metrekare, Oda Sayýsý, Bulunduðu Kat, Isýtma Tipi, Eþya Durumu, Konut Tipi, Brüt Metrekare, Bina Yaþý, Binanýn Kat Sayýsý, Site Ýçerisinde, Fiyat
Esenyurt , Yeþilkent Mahallesi,51,1+1,12,Merkezi (Pay Ölçer),Eþyalý,Daire,56,10,27,Evet,11000
Esenyurt , Cumhuriyet Mahallesi,100,2+1,13,Merkezi (Pay Ölçer),Eþyalý,Daire,115,15,18,Evet,24000
Esenyurt , Piri Reis Mahallesi,58,1+1,8,Merkezi (Pay Ölçer),Eþyalý,Daire,65,10,10,Evet,11000
Esenyurt , Yeþilkent Mahallesi,33,Stüdyo,7,Merkezi (Pay Ölçer),Eþyalý,Daire,41,15,23,Evet,8750
Esenyurt , Zafer Mahallesi,110,2+1,9,Fancoil Ünitesi,Eþyalý,Residence,182,1,30,Evet,20000
Esenyurt , Akevler Mahallesi,45,1+1,13,Klimalý,Eþyalý,Daire,70,10,18,Evet,14000
Esenyurt , Yeþilkent Mahallesi,61,1+1,13,Merkezi (Pay Ölçer),Eþyalý,Daire,64,15,27,Evet,11000
Esenyurt , Yeþilkent Mahallesi,40,1+1,22,Merkezi (Pay Ölçer),Eþyalý,Daire,46,15,27,Evet,10000
Esenyurt , Gökevler Mahallesi,40,1+1,9,Kombi Doðalgaz,Evet,Daire,60,10,9,Eþyalý,15000
Esenyurt , Mehmet Akif Ersoy Mahallesi,80,2+1,5,Kombi Doðalgaz,Eþyalý,Evet,Daire,90,4,12,14000
Esenyurt , Mehmet Akif Ersoy Mahallesi,55,1+1,5,Kombi Doðalgaz,Daire,60,4,12,Eþyalý,Evet,12000
Esenyurt , Zafer Mahallesi,95,2+1,2,Merkezi (Pay Ölçer),Eþyalý,Daire,116,3,25,Evet,21000
Esenyurt , Yeþilkent Mahallesi,61,1+1,6,Merkezi (Pay Ölçer),Eþyalý,Daire,64,15,27,Evet,11500
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,90,15+1,0,Kombi Doðalgaz,Eþyalý,Daire,105,10,12,Evet,11000
Esenyurt , Zafer Mahallesi,85,2+1,2,Merkezi (Pay Ölçer),Eþyalý,Daire,101,10,16,Evet,19000
Esenyurt , Zafer Mahallesi,155,3+1,5,Merkezi (Pay Ölçer),Eþyalý,Daire,174,10,15,Evet,28500
Esenyurt , Piri Reis Mahallesi,70,1+1,10,Merkezi (Pay Ölçer),Eþyalý,Evet,Daire,80,10,14,17000
Esenyurt , Atatürk Mahallesi,60,1+1,7,Merkezi (Pay Ölçer),Eþyalý,Daire,65,15,9,Evet,12000
Esenyurt , Mehmet Akif Ersoy Mahallesi,75,1+1,7,Merkezi Doðalgaz,Eþyalý,Daire,80,10,15,Evet,11000
Esenyurt , Gökevler Mahallesi,70,1+1,9,Merkezi (Pay Ölçer),Eþyalý,Daire,75,15,9,Evet,13500
Esenyurt , Cumhuriyet Mahallesi,80,1+1,12,Merkezi (Pay Ölçer),Eþyalý,Daire,90,10,14,Evet,13000
Esenyurt , Yeþilkent Mahallesi,57,1+1,19,Merkezi (Pay Ölçer),Eþyalý,Daire,65,15,27,Evet,12000
